ISO-alpha3 Code;M49 Code
DZA;12
EGY;818
LBY;434
MAR;504
SDN;729
TUN;788
ESH;732
IOT;86
BDI;108
COM;174
DJI;262
ERI;232
ETH;231
ATF;260
KEN;404
MDG;450
MWI;454
MUS;480
MYT;175
MOZ;508
REU;638
RWA;646
SYC;690
SOM;706
SSD;728
UGA;800
TZA;834
ZMB;894
ZWE;716
AGO;24
CMR;120
CAF;140
TCD;148
COG;178
COD;180
GNQ;226
GAB;266
STP;678
BWA;72
SWZ;748
LSO;426
NAM;516
ZAF;710
BEN;204
BFA;854
CPV;132
CIV;384
GMB;270
GHA;288
GIN;324
GNB;624
LBR;430
MLI;466
MRT;478
NER;562
NGA;566
SHN;654
SEN;686
SLE;694
TGO;768
AIA;660
ATG;28
ABW;533
BHS;44
BRB;52
BES;535
VGB;92
CYM;136
CUB;192
CUW;531
DMA;212
DOM;214
GRD;308
GLP;312
HTI;332
JAM;388
MTQ;474
MSR;500
PRI;630
BLM;652
KNA;659
LCA;662
MAF;663
VCT;670
SXM;534
TTO;780
TCA;796
VIR;850
BLZ;84
CRI;188
SLV;222
GTM;320
HND;340
MEX;484
NIC;558
PAN;591
ARG;32
BOL;68
BVT;74
BRA;76
CHL;152
COL;170
ECU;218
FLK;238
GUF;254
GUY;328
PRY;600
PER;604
SGS;239
SUR;740
URY;858
VEN;862
BMU;60
CAN;124
GRL;304
SPM;666
USA;842
ATA;10
KAZ;398
KGZ;417
TJK;762
TKM;795
UZB;860
CHN;156
HKG;344
MAC;446
PRK;408
JPN;392
MNG;496
KOR;410
BRN;96
KHM;116
IDN;360
LAO;418
MYS;458
MMR;104
PHL;608
SGP;702
THA;764
TLS;626
VNM;704
AFG;4
BGD;50
BTN;64
IND;356
IRN;364
MDV;462
NPL;524
PAK;586
LKA;144
ARM;51
AZE;31
BHR;48
CYP;196
GEO;268
IRQ;368
ISR;376
JOR;400
KWT;414
LBN;422
OMN;512
QAT;634
SAU;682
PSE;275
SYR;760
TUR;792
ARE;784
YEM;887
BLR;112
BGR;100
CZE;203
HUN;348
POL;616
MDA;498
ROU;642
RUS;643
SVK;703
UKR;804
ALA;248
DNK;208
EST;233
FRO;234
FIN;246
GGY;831
ISL;352
IRL;372
IMN;833
JEY;832
LVA;428
LTU;440
NOR;578
SJM;744
SWE;752
GBR;826
ALB;8
AND;20
BIH;70
HRV;191
GIB;292
GRC;300
VAT;336
ITA;380
MLT;470
MNE;499
MKD;807
PRT;620
SMR;674
SRB;688
SVN;705
ESP;724
AUT;40
BEL;56
FRA;250
DEU;276
LIE;438
LUX;442
MCO;492
NLD;528
CHE;756
AUS;36
CXR;162
CCK;166
HMD;334
NZL;554
NFK;574
FJI;242
NCL;540
PNG;598
SLB;90
VUT;548
GUM;316
KIR;296
MHL;584
FSM;583
NRU;520
MNP;580
PLW;585
UMI;581
ASM;16
COK;184
PYF;258
NIU;570
PCN;612
WSM;882
TKL;772
TON;776
TUV;798
WLF;876
